symbol_id,symbol,timeframe,timeframe_code,eligible,reasons,covered_until,unresolved_rows
76,002253.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
76,002253.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
76,002253.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
77,002271.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,56
77,002271.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,31
77,002271.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
77,002271.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
77,002271.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
78,002289.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,274
78,002289.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,39
78,002289.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
78,002289.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
78,002289.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
79,002305.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,188
79,002305.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,35
79,002305.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
79,002305.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
79,002305.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
80,002322.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,143
80,002322.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,25
80,002322.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
80,002322.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
80,002322.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
81,002340.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,54
81,002340.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,23
81,002340.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
81,002340.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
81,002340.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
82,002357.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,203
82,002357.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,42
82,002357.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
82,002357.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
